Kinase,Compound,Predicted_Kd_Category
PDPK1,CEP-701,<3000nM
CHEK2,BMS-540215,>3000nM
"KIT(V559D,V654A)",PTK-787,>3000nM
MERTK,BIRB-796,>3000nM
KIT,Dasatinib,<3000nM
CDKL5,PP-242,>3000nM
YSK1,AZD-1152HQPA,>3000nM
FRK,MLN-120B,>3000nM
SLK,JNJ-28312141,<3000nM
BMPR1B,GDC-0879,>3000nM
NEK4,AB-1010,>3000nM
JAK1(JH2domain-pseudokinase),AST-487,<3000nM
PDGFRB,MLN-518,<3000nM
ABL1-phosphorylated,Staurosporine,<3000nM
CLK1,GW-2580,>3000nM
PIK3CA(E542K),MLN-8054,>3000nM
NLK,A-674563,<3000nM
CLK2,JNJ-28312141,<3000nM
LYN,Ki-20227,<3000nM
KIT,LY-333531,<3000nM
ABL1(F317I)-phosphorylated,R547,>3000nM
ABL1(Q252H)-nonphosphorylated,MLN-8054,<3000nM
PKMYT1,GSK-1838705A,>3000nM
AAK1,PTK-787,>3000nM
CLK4,Dasatinib,>3000nM
EPHB1,CI-1033,<3000nM
PKN1,BMS-387032/SNS-032,>3000nM
RSK1(Kin.Dom.1-N-terminal),BIBW-2992,>3000nM
CSNK1G3,GW-2580,>3000nM
EPHA6,CHIR-258/TKI-258,<3000nM
CSK,MLN-120B,>3000nM
AURKC,A-674563,<3000nM
EPHB6,BI-2536,<3000nM
EGFR(L858R),KW-2449,<3000nM
RSK3(Kin.Dom.1-N-terminal),Dasatinib,>3000nM
TIE2,CEP-701,<3000nM
IGF1R,AB-1010,>3000nM
TYK2(JH2domain-pseudokinase),AZD-2171,>3000nM
YANK1,PHA-665752,>3000nM
CLK1,BMS-345541,>3000nM
EPHA6,BIRB-796,<3000nM
RET(V804M),PP-242,<3000nM
MRCKB,GDC-0941,>3000nM
ERBB4,GSK-690693,>3000nM
TNIK,GSK-690693,>3000nM
TRPM6,R547,>3000nM
PIK3CA(Q546K),KW-2449,>3000nM
AMPK-alpha2,CP-690550,>3000nM
ERN1,LY-333531,>3000nM
ABL1(F317I)-nonphosphorylated,GSK-690693,>3000nM
PKMYT1,AB-1010,>3000nM
NDR1,Pazopanib,>3000nM
DMPK,AZD-1152HQPA,>3000nM
"EGFR(L858R,T790M)",BIRB-796,>3000nM
ERK4,PKC-412,>3000nM
MST2,Staurosporine,<3000nM
BRSK1,BIRB-796,>3000nM
CAMK2G,Vandetanib,>3000nM
DMPK,A-674563,<3000nM
TRKC,Vandetanib,>3000nM
MINK,PHA-665752,<3000nM
KIT,JNJ-28312141,<3000nM
EPHA2,Nilotinib,>3000nM
DRAK2,CI-1033,>3000nM
PIK3CA,GSK-1838705A,>3000nM
PKNB(M.tuberculosis),BIRB-796,>3000nM
p38-alpha,PTK-787,>3000nM
FGFR3,GDC-0879,>3000nM
CAMK2B,Pazopanib,>3000nM
CASK,AZD-6244/ARRY-886,>3000nM
EIF2AK1,AZD-6244/ARRY-886,>3000nM
CDK8,AZD-6244/ARRY-886,>3000nM
ABL1-phosphorylated,BIRB-796,<3000nM
LZK,JNJ-28312141,<3000nM
GRK7,Dasatinib,>3000nM
"KIT(V559D,V654A)",HKI-272,>3000nM
HPK1,TAE-684,<3000nM
DMPK,Lapatinib,>3000nM
ADCK3,AZD-1152HQPA,>3000nM
MET,PHA-665752,<3000nM
CDC2L1,BIRB-796,>3000nM
LIMK2,A-674563,>3000nM
ADCK3,Pazopanib,>3000nM
CDC2L2,AB-1010,>3000nM
PCTK1,R547,>3000nM
CDKL3,BIRB-796,>3000nM
PIK3CD,CP-690550,>3000nM
PRKCQ,HKI-272,>3000nM
TBK1,HKI-272,>3000nM
CDK8,Crizotinib,>3000nM
JAK1(JH2domain-pseudokinase),AZD-1152HQPA,>3000nM
ABL1(Q252H)-phosphorylated,Pazopanib,<3000nM
KIT,CEP-701,<3000nM
TAOK1,HKI-272,>3000nM
PRKX,Vandetanib,>3000nM
FYN,KW-2449,<3000nM
RPS6KA4(Kin.Dom.2-C-terminal),PKC-412,<3000nM
ABL1(E255K)-phosphorylated,Imatinib,<3000nM
LZK,Crizotinib,>3000nM
JAK1(JH2domain-pseudokinase),R547,>3000nM
FLT3,PKC-412,<3000nM
SNARK,BI-2536,>3000nM
YES,TG-101348,<3000nM
FLT3(R834Q),AZD-1152HQPA,<3000nM
AXL,PKC-412,<3000nM
CSNK1A1L,TAE-684,>3000nM
TAOK2,MLN-8054,>3000nM
ACVR1B,Dasatinib,<3000nM
PLK1,Ki-20227,>3000nM
PIK4CB,TAE-684,<3000nM
